dia,nombre_rutina,orden,ejercicio,series,reps_objetivo,descanso_seg,observacion
Día A,Fuerza base + pierna dominante,1,Prensa de piernas,4,10-12,90,"Peso retador, sin despegar cadera"
Día A,Fuerza base + pierna dominante,2,Press pecho máquina,3,10-12,75,Mejor que barra para proteger hombro
Día A,Fuerza base + pierna dominante,3,Jalón al pecho agarre neutro,3,10-12,75,No usar agarre muy abierto
Día A,Fuerza base + pierna dominante,4,Peso muerto rumano mancuernas,3,10,90,"Espalda recta, bajar controlado"
Día A,Fuerza base + pierna dominante,5,Remo sentado en polea,3,10-12,75,"Escápulas atrás, sin halar con cuello"
Día A,Fuerza base + pierna dominante,6,Elevación lateral mancuernas,2,12-15,60,"Peso liviano, sin dolor"
Día A,Fuerza base + pierna dominante,7,Plancha frontal,3,30-40 seg,45,Abdomen firme
Día B,"Espalda, glúteo y control metabólico",1,Hack squat,4,8-10,90,Técnica primero
Día B,"Espalda, glúteo y control metabólico",2,Remo Hammer pecho apoyado,3,10-12,75,Protege lumbar
Día B,"Espalda, glúteo y control metabólico",3,Press inclinado máquina,3,10,75,Inclinación moderada
Día B,"Espalda, glúteo y control metabólico",4,Curl femoral,3,12,75,Controla la bajada
Día B,"Espalda, glúteo y control metabólico",5,Hip thrust máquina,3,10-12,90,Pausa 1 segundo arriba
Día B,"Espalda, glúteo y control metabólico",6,Curl bíceps barra Z,2,10-12,60,Sin balanceo
Día B,"Espalda, glúteo y control metabólico",7,Tríceps cuerda polea,2,12-15,60,Codos fijos
Día B,"Espalda, glúteo y control metabólico",8,Pallof press,3,12 por lado,45,Mejor que torsiones bruscas
Día C,Full body hipertrofia,1,Desplantes en Smith,3,10 por pierna,90,"Controlado, sin correr"
Día C,Full body hipertrofia,2,Jalón Hammer,3,10-12,75,No agarre abierto extremo
Día C,Full body hipertrofia,3,Press mancuernas agarre neutro,3,10,75,"Codos a 45°, no bajar demasiado"
Día C,Full body hipertrofia,4,Extensión de pierna,3,12-15,60,Pausa arriba
Día C,Full body hipertrofia,5,Remo sentado en polea,3,12,75,Controlado
Día C,Full body hipertrofia,6,Face pull,3,15,60,Prioritario por hombro
Día C,Full body hipertrofia,7,Gemelos en máquina,3,15-20,60,Recorrido completo
Día C,Full body hipertrofia,8,Crunch máquina,3,12-15,45,Sin jalar cuello
