ejercicio,grupo,equipo,musculo_principal,riesgo_hombro,instrucciones,errores_comunes,sustitucion,imagen
Prensa de piernas,Pierna,Máquina,"Cuádriceps, glúteo",Bajo,"Apoya bien la espalda, baja controlado y no despegues la cadera.",No bloquear rodillas; no acortar demasiado el recorrido.,Hack squat o sentadilla Smith,
Press pecho máquina,Pecho,Máquina,"Pecho, tríceps",Medio-bajo,"Ajusta el asiento, escápulas atrás, empuja sin bloquear agresivamente.",Evitar rango profundo si molesta el hombro.,Press mancuernas agarre neutro,
Jalón al pecho agarre neutro,Espalda,Polea,"Dorsal, bíceps",Bajo,"Lleva la barra al pecho alto, codos hacia abajo, sin balancear el torso.",No jalar tras nuca ni usar agarre excesivamente abierto.,Jalón Hammer,
Peso muerto rumano mancuernas,Pierna posterior,Mancuernas,"Isquios, glúteo, lumbar",Bajo,"Bisagra de cadera, espalda neutra, baja hasta sentir estiramiento controlado.",No redondear espalda ni convertirlo en sentadilla.,Curl femoral,
Remo sentado en polea,Espalda,Polea,"Dorsal, romboides",Bajo,"Tira hacia el abdomen, pecho arriba, escápulas atrás.",No encoger hombros ni balancearte.,Remo Hammer pecho apoyado,
Elevación lateral mancuernas,Hombro,Mancuernas,Deltoide lateral,Medio,Sube hasta altura de hombro con peso liviano y controlado.,No subir con impulso ni dolor.,Elevación lateral en polea o máquina,
Plancha frontal,Core,Peso corporal,Core,Bajo,"Cuerpo recto, abdomen firme, respira controlado.",No hundir la cadera.,Dead bug,
Hack squat,Pierna,Máquina,"Cuádriceps, glúteo",Bajo,"Pies firmes, baja controlado, sube sin bloquear rodillas.",No despegar talones ni perder profundidad segura.,Prensa de piernas,
Remo Hammer pecho apoyado,Espalda,Máquina,"Dorsal, espalda media",Bajo,"Pecho apoyado, tira con codos, controla la vuelta.",No encoger hombros.,Remo polea baja,
Press inclinado máquina,Pecho,Máquina,"Pecho superior, tríceps",Medio,"Inclinación moderada, escápulas estables, rango cómodo.",Evitar inclinación muy alta si carga hombro.,Press pecho máquina,
Curl femoral,Pierna posterior,Máquina,Isquiosurales,Bajo,"Contrae fuerte, baja lento.",No levantar cadera ni hacer rebotes.,Peso muerto rumano,
Hip thrust máquina,Glúteo,Máquina,"Glúteo, isquios",Bajo,"Pausa arriba, barbilla ligeramente hacia abajo, empuja con talones.",No hiperextender lumbar.,Puente de glúteo,
Curl bíceps barra Z,Brazos,Barra Z,Bíceps,Bajo,"Codos fijos, sube controlado, baja lento.",No balancear el cuerpo.,Curl martillo,
Tríceps cuerda polea,Brazos,Polea,Tríceps,Bajo,"Codos pegados, extiende y separa cuerda abajo.",No cargar hombros hacia adelante.,Tríceps barra polea,
Pallof press,Core,Polea,Core antirotación,Bajo,Empuja al frente resistiendo la rotación.,No girar el tronco.,Plancha lateral,
Desplantes en Smith,Pierna,Smith,"Glúteo, cuádriceps",Bajo,"Paso estable, baja controlado, tronco firme.",No colapsar rodillas hacia adentro.,Zancada con mancuernas,
Jalón Hammer,Espalda,Máquina,"Dorsal, bíceps",Bajo,"Agarre cómodo, tira hacia pecho, controla la subida.",No usar agarre muy abierto si molesta.,Jalón neutro,
Press mancuernas agarre neutro,Pecho,Mancuernas,"Pecho, tríceps",Medio,"Palmas enfrentadas, codos a 45°, rango cómodo.",No bajar demasiado si hay molestia.,Press pecho máquina,
Extensión de pierna,Pierna,Máquina,Cuádriceps,Bajo,"Pausa arriba, baja controlado.",No hacer rebotes.,Prensa de piernas,
Face pull,Hombro saludable,Polea,"Deltoide posterior, manguito rotador",Bajo,"Tira hacia la cara, codos altos, escápulas atrás.",No arquear lumbar.,Rotación externa con liga,
Gemelos en máquina,Pantorrilla,Máquina,"Gastrocnemio, sóleo",Bajo,"Sube completo, baja con control.",No rebotar.,Gemelos en hack,
Crunch máquina,Core,Máquina,Abdominales,Bajo,"Flexiona el tronco con control, sin jalar cuello.",No usar impulso.,Dead bug,
